locus_tag,n_tested,n_up,pct_up
PMM0439,3,0,0.0
PMM0440,3,0,0.0
PMM0441,3,0,0.0
PMM0442,3,0,0.0
PMM0443,3,2,66.66666666666667
PMM0444,2,1,50.0
PMM0445,3,2,66.66666666666667
PMM0446,3,2,66.66666666666667
PMM0447,2,2,100.0
PMM0448,3,2,66.66666666666667
PMM0449,3,1,33.333333333333336
PMM0450,3,1,33.333333333333336
PMM0451,2,1,50.0
PMM0452,3,0,0.0
PMM0453,3,0,0.0
PMM0454,3,0,0.0
PMM0455,3,1,33.333333333333336
PMM0456,2,1,50.0
PMM0457,3,0,0.0
PMM0458,3,1,33.333333333333336
PMM0459,3,0,0.0
PMM0460,2,0,0.0
PMM0461,3,0,0.0
PMM0462,3,0,0.0
PMM0463,3,1,33.333333333333336
PMM0464,2,0,0.0
PMM0465,3,0,0.0
PMM0466,3,0,0.0
PMM0467,3,0,0.0
PMM0468,3,0,0.0
PMM0469,3,0,0.0
PMM0470,3,0,0.0
PMM0471,2,0,0.0
PMM0472,3,0,0.0
PMM0473,3,0,0.0
PMM0474,3,0,0.0
PMM0475,3,0,0.0
PMM0476,3,0,0.0
PMM0477,3,0,0.0
PMM0478,3,0,0.0
PMM0479,3,0,0.0
PMM0480,3,1,33.333333333333336
PMM0481,3,0,0.0
PMM0482,3,0,0.0
PMM0483,3,0,0.0
PMM0484,3,0,0.0
PMM0485,2,0,0.0
PMM0486,3,0,0.0
PMM0487,3,0,0.0
PMM0488,3,0,0.0
PMM0489,3,0,0.0
PMM0490,3,0,0.0
PMM0491,3,0,0.0
PMM0492,3,0,0.0
PMM0493,3,1,33.333333333333336
PMM0494,3,0,0.0
PMM0495,3,0,0.0
PMM0496,3,0,0.0
PMM0497,3,0,0.0
PMM0498,3,0,0.0
PMM0499,3,0,0.0
PMM0500,3,0,0.0
PMM0501,2,0,0.0
PMM0502,3,1,33.333333333333336
PMM0503,3,0,0.0
PMM0504,2,0,0.0
PMM0505,3,0,0.0
PMM0506,3,0,0.0
PMM0507,3,0,0.0
PMM0508,3,0,0.0
PMM0509,3,2,66.66666666666667
PMM0510,2,0,0.0
PMM0511,3,0,0.0
PMM0512,3,0,0.0
PMM0513,3,0,0.0
PMM0514,3,0,0.0
PMM0515,3,0,0.0
PMM0516,3,0,0.0
PMM0517,2,0,0.0
PMM0518,3,0,0.0
PMM0519,3,1,33.333333333333336
PMM0520,3,0,0.0
PMM0521,3,0,0.0
PMM0522,3,0,0.0
PMM0523,3,1,33.333333333333336
PMM0524,3,1,33.333333333333336
PMM0525,3,0,0.0
PMM0526,3,0,0.0
PMM0527,3,0,0.0
PMM0528,3,0,0.0
PMM0529,3,0,0.0
PMM0530,3,0,0.0
PMM0531,3,0,0.0
PMM0532,3,0,0.0
PMM0533,3,0,0.0
PMM0534,3,0,0.0
PMM0535,3,0,0.0
PMM0536,3,0,0.0
PMM0537,3,1,33.333333333333336
PMM0538,3,1,33.333333333333336
PMM0539,3,1,33.333333333333336
PMM0540,2,0,0.0
PMM0541,2,0,0.0
PMM0542,3,0,0.0
PMM0543,3,0,0.0
PMM0544,3,1,33.333333333333336
PMM0545,3,0,0.0
PMM0546,3,0,0.0
PMM0547,3,0,0.0
PMM0548,3,1,33.333333333333336
PMM0549,3,0,0.0
PMM0550,3,0,0.0
PMM0551,3,0,0.0
PMM0552,3,0,0.0
PMM0553,3,0,0.0
PMM0554,3,0,0.0
PMM0555,3,0,0.0
PMM0556,3,0,0.0
PMM0557,3,0,0.0
PMM0558,3,0,0.0
PMM0559,3,0,0.0
PMM0560,3,0,0.0
PMM0561,3,0,0.0
PMM0562,2,0,0.0
PMM0563,3,0,0.0
PMM0564,3,0,0.0
PMM0565,3,1,33.333333333333336
PMM0566,3,0,0.0
PMM0567,3,0,0.0
PMM0568,3,1,33.333333333333336
PMM0569,3,0,0.0
PMM0570,2,1,50.0
PMM0571,2,0,0.0
PMM0572,3,0,0.0
PMM0573,1,0,0.0
PMM0574,3,0,0.0
PMM0575,3,0,0.0
PMM0576,3,0,0.0
PMM0577,3,0,0.0
PMM0578,3,0,0.0
PMM0579,3,0,0.0
PMM0580,3,0,0.0
PMM0581,3,0,0.0
PMM0582,3,0,0.0
PMM0583,3,0,0.0
PMM0584,3,0,0.0
PMM0585,3,0,0.0
PMM0586,3,0,0.0
PMM0587,3,0,0.0
PMM0588,3,0,0.0
PMM0589,3,0,0.0
PMM0590,3,0,0.0
PMM0591,3,0,0.0
PMM0592,2,0,0.0
PMM0593,3,0,0.0
PMM0594,3,0,0.0
PMM0595,3,0,0.0
PMM0596,3,0,0.0
PMM0597,3,0,0.0
PMM0598,3,0,0.0
PMM0599,3,0,0.0
PMM0600,3,0,0.0
PMM0601,3,0,0.0
PMM0602,3,0,0.0
PMM0603,2,0,0.0
PMM0604,3,0,0.0
PMM0605,3,0,0.0
PMM0606,3,0,0.0
PMM0607,3,0,0.0
PMM0608,3,0,0.0
PMM0609,3,0,0.0
PMM0610,3,0,0.0
PMM0611,3,2,66.66666666666667
PMM0612,3,0,0.0
PMM0613,3,0,0.0
PMM0614,3,1,33.333333333333336
PMM0615,3,0,0.0
PMM0616,3,0,0.0
PMM0617,2,1,50.0
PMM0618,3,1,33.333333333333336
PMM0619,3,0,0.0
PMM0620,3,0,0.0
PMM0621,3,0,0.0
PMM0622,3,0,0.0
PMM0623,3,0,0.0
PMM0624,1,0,0.0
PMM0625,2,0,0.0
PMM0626,2,1,50.0
PMM0627,3,0,0.0
PMM0628,3,0,0.0
PMM0629,2,0,0.0
PMM0630,3,0,0.0
PMM0631,3,0,0.0
PMM0632,3,0,0.0
PMM0633,3,0,0.0
PMM0634,3,0,0.0
PMM0635,3,2,66.66666666666667
PMM0636,3,0,0.0
PMM0637,3,2,66.66666666666667
PMM0638,3,1,33.333333333333336
PMM0639,3,0,0.0
PMM0640,3,0,0.0
PMM0641,3,0,0.0
PMM0642,3,0,0.0
PMM0643,3,0,0.0
PMM0644,3,0,0.0
PMM0645,3,0,0.0
PMM0646,3,1,33.333333333333336
PMM0647,2,0,0.0
PMM0648,3,0,0.0
PMM0649,3,0,0.0
PMM0650,2,1,50.0
PMM0651,3,1,33.333333333333336
PMM0652,2,0,0.0
PMM0653,3,0,0.0
PMM0654,2,0,0.0
PMM0655,2,0,0.0
PMM0656,2,1,50.0
PMM0657,3,0,0.0
PMM0658,3,0,0.0
PMM0659,2,0,0.0
PMM0660,3,1,33.333333333333336
PMM0661,3,1,33.333333333333336
PMM0662,3,0,0.0
PMM0663,3,0,0.0
PMM0664,3,1,33.333333333333336
PMM0665,3,0,0.0
PMM0666,3,0,0.0
PMM0667,3,1,33.333333333333336
PMM0668,3,0,0.0
PMM0669,3,0,0.0
PMM0670,3,1,33.333333333333336
PMM0674,3,0,0.0
PMM0675,3,0,0.0
PMM0676,3,0,0.0
PMM0677,3,0,0.0
PMM0678,3,0,0.0
PMM0679,3,0,0.0
PMM0680,3,0,0.0
PMM0681,3,0,0.0
PMM0682,3,0,0.0
PMM0683,3,1,33.333333333333336
PMM0684,2,1,50.0
PMM0685,1,1,100.0
PMM0686,1,0,0.0
PMM0687,2,2,100.0
PMM0688,3,0,0.0
PMM0689,2,2,100.0
PMM0690,2,2,100.0
PMM0691,2,0,0.0
PMM0692,2,0,0.0
PMM0693,2,1,50.0
PMM0694,3,0,0.0
PMM0695,3,1,33.333333333333336
PMM0696,2,0,0.0
PMM0697,3,1,33.333333333333336
PMM0698,2,1,50.0
PMM0699,2,0,0.0
PMM0700,2,0,0.0
PMM0701,2,0,0.0
PMM0702,2,0,0.0
PMM0703,2,0,0.0
PMM0704,3,2,66.66666666666667
PMM0707,2,1,50.0
PMM0708,3,0,0.0
PMM0709,3,1,33.333333333333336
PMM0712,3,0,0.0
PMM0715,3,1,33.333333333333336
PMM0716,2,0,0.0
PMM0717,2,0,0.0
PMM0718,2,0,0.0
PMM0719,3,3,100.0
PMM0720,2,0,0.0
PMM0721,3,1,33.333333333333336
PMM0722,3,0,0.0
PMM0726,2,2,100.0
PMM0727,3,0,0.0
PMM0728,2,0,0.0
PMM0729,2,1,50.0
PMM0730,2,1,50.0
PMM0731,2,1,50.0
PMM0732,3,0,0.0
PMM0733,3,1,33.333333333333336
PMM0734,3,0,0.0
PMM0735,3,0,0.0
PMM0736,3,1,33.333333333333336
PMM0737,3,2,66.66666666666667
PMM0738,3,1,33.333333333333336
PMM0739,2,1,50.0
PMM0740,2,0,0.0
PMM0741,3,0,0.0
PMM0742,3,2,66.66666666666667
PMM0743,3,0,0.0
PMM0744,3,0,0.0
PMM0745,3,0,0.0
PMM0746,3,1,33.333333333333336
PMM0747,3,0,0.0
PMM0748,3,0,0.0
PMM0749,3,0,0.0
PMM0750,3,1,33.333333333333336
PMM0751,2,0,0.0
PMM0752,3,0,0.0
PMM0753,3,1,33.333333333333336
PMM0754,3,0,0.0
PMM0755,2,0,0.0
PMM0756,3,0,0.0
PMM0757,3,0,0.0
PMM0758,3,1,33.333333333333336
PMM0759,3,0,0.0
PMM0760,3,0,0.0
PMM0761,3,1,33.333333333333336
PMM0762,3,0,0.0
PMM0763,2,0,0.0
PMM0764,3,0,0.0
PMM0765,3,0,0.0
PMM0766,3,0,0.0
PMM0767,3,0,0.0
PMM0768,3,0,0.0
PMM0769,3,0,0.0
PMM0770,3,2,66.66666666666667
PMM0771,3,1,33.333333333333336
PMM0772,3,1,33.333333333333336
PMM0773,3,1,33.333333333333336
PMM0774,3,0,0.0
PMM0775,3,1,33.333333333333336
PMM0776,3,0,0.0
PMM0777,3,0,0.0
PMM0778,3,1,33.333333333333336
PMM0779,3,1,33.333333333333336
PMM0780,3,1,33.333333333333336
PMM0781,3,0,0.0
PMM0782,3,0,0.0
PMM0783,3,0,0.0
PMM0784,3,0,0.0
PMM0785,3,0,0.0
PMM0786,3,0,0.0
PMM0787,3,0,0.0
PMM0788,3,0,0.0
PMM0789,3,0,0.0
PMM0790,3,0,0.0
PMM0791,2,0,0.0
PMM0792,3,0,0.0
PMM0793,3,0,0.0
PMM0794,3,1,33.333333333333336
PMM0795,3,1,33.333333333333336
PMM0796,3,0,0.0
PMM0797,3,0,0.0
PMM0798,3,0,0.0
PMM0799,3,0,0.0
PMM0800,2,0,0.0
PMM0801,3,0,0.0
PMM0802,3,0,0.0
PMM0803,3,0,0.0
PMM0804,3,1,33.333333333333336
PMM0805,2,0,0.0
PMM0806,3,1,33.333333333333336
PMM0807,3,0,0.0
PMM0808,3,0,0.0
PMM0809,2,0,0.0
PMM0810,3,2,66.66666666666667
PMM0811,2,0,0.0
PMM0812,2,0,0.0
PMM0813,3,0,0.0
PMM0814,2,0,0.0
PMM0817,1,0,0.0
PMM0818,1,0,0.0
PMM0819,2,2,100.0
PMM0820,2,0,0.0
PMM0821,3,0,0.0
PMM0822,2,0,0.0
PMM0823,3,0,0.0
PMM0824,3,0,0.0
PMM0825,3,0,0.0
PMM0826,3,0,0.0
PMM0827,3,0,0.0
PMM0828,3,1,33.333333333333336
PMM0829,3,0,0.0
PMM0830,3,0,0.0
PMM0831,3,0,0.0
PMM0832,3,0,0.0
PMM0833,3,0,0.0
PMM0834,3,0,0.0
PMM0835,2,0,0.0
PMM0836,3,0,0.0
PMM0837,3,0,0.0
PMM0838,1,0,0.0
PMM0839,3,0,0.0
PMM0840,3,1,33.333333333333336
PMM0841,3,0,0.0
PMM0842,3,0,0.0
PMM0843,3,0,0.0
PMM0844,3,0,0.0
PMM0845,3,0,0.0
PMM0846,3,0,0.0
PMM0847,3,0,0.0
PMM0848,2,0,0.0
PMM0849,2,1,50.0
PMM0850,2,1,50.0
PMM0851,3,0,0.0
PMM0852,3,0,0.0
PMM0853,3,0,0.0
PMM0854,3,0,0.0
PMM0855,1,0,0.0
PMM0856,3,0,0.0
PMM0857,2,0,0.0
PMM0858,3,2,66.66666666666667
PMM0859,2,0,0.0
PMM0860,2,0,0.0
PMM0861,2,0,0.0
PMM0862,3,0,0.0
PMM0863,3,0,0.0
PMM0864,3,0,0.0
PMM0865,3,0,0.0
PMM0866,3,0,0.0
PMM0867,3,0,0.0
PMM0868,3,0,0.0
PMM0869,3,0,0.0
PMM0870,3,0,0.0
PMM0871,3,0,0.0
PMM0872,2,0,0.0
PMM0873,3,1,33.333333333333336
PMM0874,3,0,0.0
PMM0875,3,0,0.0
PMM0876,3,0,0.0
PMM0877,3,0,0.0
PMM0878,3,0,0.0
PMM0879,3,0,0.0
PMM0880,3,0,0.0
PMM0881,3,0,0.0
PMM0882,3,0,0.0
PMM0883,3,1,33.333333333333336
PMM0884,3,0,0.0
PMM0885,3,0,0.0
PMM0886,3,0,0.0
PMM0887,3,0,0.0
PMM0888,3,0,0.0
PMM0889,3,0,0.0
PMM0890,3,0,0.0
PMM0891,3,0,0.0
PMM0892,3,0,0.0
PMM0893,3,0,0.0
PMM0894,3,0,0.0
PMM0895,3,0,0.0
PMM0896,3,0,0.0
PMM0897,3,1,33.333333333333336
PMM0898,2,0,0.0
PMM0899,3,1,33.333333333333336
PMM0900,3,0,0.0
PMM0901,3,0,0.0
PMM0902,3,0,0.0
PMM0903,3,0,0.0
PMM0904,2,1,50.0
PMM0905,2,0,0.0
PMM0906,2,0,0.0
PMM0907,3,0,0.0
PMM0909,3,0,0.0
PMM0910,2,0,0.0
PMM0911,3,1,33.333333333333336
PMM0912,3,0,0.0
PMM0913,3,0,0.0
PMM0914,3,0,0.0
PMM0915,3,0,0.0
PMM0916,3,0,0.0
PMM0917,3,0,0.0
PMM0918,3,0,0.0
PMM0919,3,0,0.0
PMM0921,3,0,0.0
PMM0922,3,0,0.0
PMM0923,2,0,0.0
PMM0924,3,0,0.0
PMM0925,3,0,0.0
PMM0926,3,0,0.0
PMM0927,3,0,0.0
PMM0928,3,0,0.0
PMM0929,3,0,0.0
PMM0930,3,0,0.0
PMM0931,2,0,0.0
PMM0932,3,0,0.0
PMM0933,3,0,0.0
PMM0934,2,0,0.0
PMM0935,3,0,0.0
PMM0936,2,1,50.0
PMM0937,2,1,50.0
PMM0938,3,1,33.333333333333336
PMM0939,3,0,0.0
PMM0940,2,0,0.0
PMM0941,3,0,0.0
PMM0942,3,0,0.0
PMM0943,3,0,0.0
PMM0944,3,0,0.0
PMM0945,3,1,33.333333333333336
PMM0946,3,0,0.0
PMM0947,3,0,0.0
PMM0948,3,0,0.0
PMM0949,2,0,0.0
PMM0950,3,0,0.0
PMM0951,3,0,0.0
PMM0952,3,0,0.0
PMM0953,3,0,0.0
PMM0954,3,0,0.0
PMM0955,3,0,0.0
PMM0956,3,0,0.0
PMM0957,3,2,66.66666666666667
PMM0958,3,3,100.0
PMM0959,3,0,0.0
PMM0960,3,0,0.0
PMM0961,3,2,66.66666666666667
PMM0962,3,0,0.0
PMM0975,3,1,33.333333333333336
PMM0976,3,0,0.0
PMM0977,2,0,0.0
PMM0978,2,0,0.0
PMM0979,2,0,0.0
PMM0980,3,1,33.333333333333336
PMM0981,2,1,50.0
PMM0982,3,1,33.333333333333336
PMM0983,3,0,0.0
