n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.252523747,1.0,not_significant
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.25024562,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.249193812,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.239253401,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.233439386,1.0,not_significant
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.23257252,1.0,not_significant
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.229495345,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.214391555,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.213053866,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.210670168,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.209956651,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.20908299,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.208251607,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.205703988,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.203725127,1.0,not_significant
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.203478283,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.202121252,1.0,not_significant
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.201457247,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.198778899,1.0,not_significant
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.19460358,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.183671938,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.180047877,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.172054669,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.164968885,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.159502007,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.156774221,1.0,not_significant
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.156354162,1.0,not_significant
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.155605319,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.154930484,1.0,not_significant
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.152773848,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.152222385,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.152159455,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.150309341,1.0,not_significant
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.148176001,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.141625096,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.140371717,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.139045969,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.136523342,1.0,not_significant
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.136175369,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.134838475,1.0,not_significant
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.133754129,1.0,not_significant
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.129381878,1.0,not_significant
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.12890479,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.127152696,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.12579327,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.123740672,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.120599636,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.120539729,1.0,not_significant
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.116771373,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.11642438,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.114830872,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.111588365,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.109257056,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.103731105,1.0,not_significant
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.103349863,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.102302035,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.10205268,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.100927594,1.0,not_significant
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.09843682,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.097970034,1.0,not_significant
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.095752123,1.0,not_significant
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.094986295,1.0,not_significant
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.093114125,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.093106227,1.0,not_significant
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.092761999,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.084983611,1.0,not_significant
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.082667348,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.082086482,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.07967965,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.06988362,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.067013912,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.064267462,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.063198204,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.062778818,1.0,not_significant
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.051118549,1.0,not_significant
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.05073846,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.04109483,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.04067895,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.040016019,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.037912093,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.037498621,1.0,not_significant
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.036145658,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.029220648,1.0,not_significant
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.025921824,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.022423111,1.0,not_significant
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.020781208,1.0,not_significant
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.019889178,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.017905616,1.0,not_significant
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.017309404,1.0,not_significant
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.016484455,1.0,not_significant
N,pipX,Prochlorococcus MIT9313,PMT0205,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.014918578,1.0,not_significant
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.008129456,1.0,not_significant
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.007783139,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.00710968,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.006103848,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.003077707,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.001554831,1.0,not_significant
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.000214018,1.0,not_significant
