n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,ureB,Prochlorococcus MED4,PMM0964,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.106873194376628,0.736252468770597,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.105949136,1.0,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.100912187,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.099167643,1.0,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.098280398,1.0,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.096262343,1.0,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.093571082,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.092497242,1.0,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.091705119,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.09,0.94,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.0879319508870443,0.778679419626507,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.0847600301106806,0.794369507404046,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.081513705,1.0,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.0812196731567369,0.804121681404032,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.08,1.0,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-0.08,0.97,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.08,1.0,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.0746086564458916,0.8857731999738403,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.070220922,1.0,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.070215275,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.069580424,1.0,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.065999164,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.065163446,1.0,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.061847033,1.0,not_significant
