group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h,1.76,0.00443,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1186/2046-9063-8-7_pi_limitation_natl2a_itraq,PROTEOMICS,mid-exponential,-1.5504986364099569,,significant_down
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,50h (P added),1.46,0.58,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,50h (P added),1.44,0.08,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,50h (P added),1.35,0.99,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h (P added),1.19,0.25,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h (P added),0.65,1.0,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h (P added),0.64,1.0,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,50h (P added),-0.5,0.86,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,46h,0.45,1.0,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,4h,0.19,1.0,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,4h,0.03,1.0,not_significant
positive_control_P,Prochlorococcus MIT9313,PMT0993,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,24h,9.279,0.0,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0994,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,24h,7.385,0.0,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0993,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,12h,6.577,0.0003,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0508,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,24h,5.364,0.0,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0994,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,12h,3.661,0.049,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0508,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,12h,2.349,0.0003,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT_0995,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,24h,1.386,0.0,significant_up
positive_control_P,Prochlorococcus MIT9313,PMT0993,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,4h,1.191,0.4553,not_significant
positive_control_P,Prochlorococcus MIT9313,PMT0994,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,4h,1.129,0.4487,not_significant
positive_control_P,Prochlorococcus MIT9313,PMT_0995,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,MICROARRAY,0h,-1.083,0.9971,not_significant
